date;precipitation_mm_d;discharge;temperature
01.01.2001;0;33.21;-7.9
02.01.2001;0.4;33.18;-5.9
03.01.2001;2.1;33.11;-2.3
04.01.2001;0.8;33.17;-1.6
05.01.2001;0;33.19;0.1
06.01.2001;0;33.45;0.9
07.01.2001;2.6;33.78;0.6
08.01.2001;21.7;34.05;-0.4
09.01.2001;0;34.04;-0.6
10.01.2001;0;33.91;-3.1
11.01.2001;6;33.83;-0.6
12.01.2001;0;33.84;-1.1
13.01.2001;0;33.80;-6.5
14.01.2001;0;33.70;-9.7
15.01.2001;0;33.63;-9.8
16.01.2001;0;33.56;-9.8
17.01.2001;0;33.52;-8.8
18.01.2001;0;33.45;-6
19.01.2001;0;33.36;-6.6
20.01.2001;0;33.30;-2.9
21.01.2001;1;33.25;-2.7
22.01.2001;0;33.24;-3
23.01.2001;0;33.18;-3.1
24.01.2001;2.8;33.17;-1.6
25.01.2001;0;33.17;0.5
26.01.2001;2.7;33.44;1.6
27.01.2001;0;33.58;-0.1
28.01.2001;0;33.36;-1.3
29.01.2001;0;33.26;-3.2
30.01.2001;5.4;33.17;-1.1
31.01.2001;6.7;33.14;-1.1
01.02.2001;6.7;33.11;-2
02.02.2001;5.4;33.09;-3.6
03.02.2001;18.8;33.09;-2.2
04.02.2001;9.7;35.02;1.3
05.02.2001;2.1;35.32;1.6
06.02.2001;0;35.27;2.2
07.02.2001;0;35.34;1.1
08.02.2001;0;35.38;0.6
09.02.2001;2.4;35.35;1.8
10.02.2001;0.1;35.35;2.2
11.02.2001;0;35.28;0.2
12.02.2001;0;35.20;0.2
13.02.2001;3;35.08;1.5
14.02.2001;0;35.09;0.7
15.02.2001;0;34.90;-0.7
16.02.2001;0;34.71;-0.2
17.02.2001;1.7;34.58;0.6
18.02.2001;0.5;34.49;2.3
19.02.2001;1.5;34.47;1.7
20.02.2001;6.5;34.40;1.1
21.02.2001;12.4;34.33;1.8
22.02.2001;5.2;35.34;1.3
