date;n_hohenlehen;snow_hohenlehen;fresh_snow_hohenlehen;n_opponitz;snow_opponitz;fresh_snow_opponitz;n_hinterlug;snow_hinterlug;fresh_snow_hinterlug;temp_mitterlug
01.01.2001;0;20;2;0;22;1;0;0;0;-7.9
02.01.2001;0;20;0;0;22;0;0.4;0;0;-5.9
03.01.2001;3.5;19;0;3.5;20;0;2.1;0;0;-2.3
04.01.2001;1.2;16;0;0;18;0;0.8;0;0;-1.6
05.01.2001;0;16;0;0;17;0;0;0;0;0.1
06.01.2001;0;16;0;0;17;0;0;0;0;0.9
07.01.2001;3.4;14;0;3.1;15;0;2.6;0;0;0.6
08.01.2001;23.8;12;0;10.5;13;0;21.7;0;0;-0.4
09.01.2001;0;20;10;0.1;22;9;0;0;0;-0.6
10.01.2001;0;19;0;0;17;0;0;0;0;-3.1
11.01.2001;5.7;19;0;5.6;17;0;6;0;0;-0.6
12.01.2001;0;18;0;0;15;0;0;0;0;-1.1
13.01.2001;0;18;0;0;15;0;0;0;0;-6.5
14.01.2001;0;18;0;0;15;0;0;0;0;-9.7
15.01.2001;0;18;0;0;14;0;0;0;0;-9.8
16.01.2001;0;18;0;0;14;0;0;0;0;-9.8
17.01.2001;0;18;0;0;14;0;0;0;0;-8.8
18.01.2001;0;18;0;0;14;0;0;0;0;-6
19.01.2001;0;18;0;0;14;0;0;0;0;-6.6
20.01.2001;0;18;0;0;14;0;0;0;0;-2.9
21.01.2001;1;18;0;0.5;14;0;1;0;0;-2.7
22.01.2001;0.2;18;1;0;15;1;0;0;0;-3
23.01.2001;0;18;0;0;14;0;0;0;0;-3.1
24.01.2001;2.1;18;0;2.6;13;0;2.8;0;0;-1.6
25.01.2001;0.8;17;0;0.3;13;0;0;0;0;0.5
26.01.2001;3.1;16;0;4;13;0;2.7;0;0;1.6
27.01.2001;0;15;0;0;13;0;0;0;0;-0.1
28.01.2001;0;15;0;0;13;0;0;0;0;-1.3
29.01.2001;0;15;0;0;12;0;0;0;0;-3.2
30.01.2001;7.8;15;0;5;12;0;5.4;0;0;-1.1
31.01.2001;6.6;24;11;4.6;22;10;6.7;0;0;-1.1
01.02.2001;9.6;33;12;8.5;30;9;6.7;0;0;-2
02.02.2001;5.6;47;17;6.5;43;14;5.4;0;0;-3.6
03.02.2001;23.8;50;10;21.5;45;8;18.8;0;0;-2.2
04.02.2001;12.4;47;7;10.3;44;5;9.7;0;0;1.3
05.02.2001;2.1;36;0;1.9;29;0;2.1;0;0;1.6
06.02.2001;0;30;0;0;27;0;0;0;0;2.2
07.02.2001;0;28;0;0;25;0;0;0;0;1.1
08.02.2001;0;26;0;0;25;0;0;0;0;0.6
09.02.2001;1.8;23;0;1.5;24;0;2.4;0;0;1.8
10.02.2001;0.5;22;0;0.4;24;0;0.1;0;0;2.2
11.02.2001;0;20;0;0;24;0;0;0;0;0.2
12.02.2001;0;19;0;0;22;0;0;0;0;0.2
13.02.2001;0.7;18;0;2.8;20;0;3;0;0;1.5
14.02.2001;0;17;0;0;18;0;0;0;0;0.7
15.02.2001;0;17;0;0;17;0;0;0;0;-0.7
16.02.2001;0;17;0;0;16;0;0;0;0;-0.2
17.02.2001;0.9;14;0;0.7;15;0;1.7;0;0;0.6
18.02.2001;0.4;12;0;0.2;12;0;0.5;0;0;2.3
19.02.2001;1.1;10;0;0.8;10;0;1.5;0;0;1.7
20.02.2001;5.6;10;0;5.5;10;0;6.5;0;0;1.1
21.02.2001;10.3;10;0;12;10;0;12.4;0;0;1.8
22.02.2001;6.2;5;0;8.5;5;0;5.2;0;0;1.3
23.02.2001;12;3;0;12.5;6;1;9.6;0;0;0.1
24.02.2001;0;14;11;0;13;7;0;0;0;-2.9
25.02.2001;0.1;11;0;0;13;0;0;0;0;-5.1
26.02.2001;1.6;8;1;2;12;0;1;0;0;-3.2
27.02.2001;0;12;7;0;19;7;0;0;0;-2.7
28.02.2001;0;7;0;0;15;0;0;0;0;-0.7
01.03.2001;0;6;0;0;12;0;0;0;0;-0.3
02.03.2001;0.3;5;0;0.3;10;0;0.1;0;0;0.1
03.03.2001;0;5;0;0;10;0;0;0;0;3.6
04.03.2001;3.9;0;0;5;8;0;5.7;0;0;3.1
05.03.2001;1.6;0;0;2.4;0;0;3;0;0;3.1
06.03.2001;0;0;0;0;0;0;0;0;0;1.2
07.03.2001;0;0;0;0;0;0;0;0;0;1.8
08.03.2001;0.1;0;0;0;0;0;0;0;0;5.3
09.03.2001;5.2;0;0;6.3;0;0;6.6;0;0;5
10.03.2001;2.4;0;0;3;0;0;3.4;0;0;7.4
11.03.2001;7.7;0;0;8.1;0;0;7;0;0;8.6
12.03.2001;1.8;0;0;1.2;0;0;2.5;0;0;10
13.03.2001;5.9;0;0;5.7;0;0;4.6;0;0;6.6
14.03.2001;7.9;0;0;6.9;0;0;5;0;0;4.8
15.03.2001;10.9;0;0;0.9;0;0;10.4;0;0;5.9
16.03.2001;0;0;0;0;0;0;0;0;0;9.3
17.03.2001;4.7;0;0;4.8;0;0;2.3;0;0;6.9
18.03.2001;0;0;0;0.6;0;0;1.8;0;0;9.8
19.03.2001;2.5;0;0;1.2;0;0;1.5;0;0;6.2
20.03.2001;7.3;0;0;5.8;0;0;7.1;0;0;4.2
21.03.2001;4.3;0;0;4.2;0;0;4.1;0;0;2.7
22.03.2001;11.8;0;0;6.5;0;0;7.1;0;0;7.3
23.03.2001;27.3;0;0;26;0;0;27.2;0;0;9.5
24.03.2001;0.4;0;0;0.5;0;0;0.7;0;0;10.4
25.03.2001;8.5;0;0;7.2;0;0;8.1;0;0;8.4
26.03.2001;2.1;0;0;1.1;0;0;1.7;0;0;6
